INSTNM,,,,CITY,,STABBR,CONTROL,PREDDEG,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
CARLOS VALENZUELA ACADEMY,,,,SCOTTSDALE,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
CENTRAL ARIZONA COLLEGE,,,,COOLIDGE,,AZ,Public,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
CHAPARRAL CAREER COLLEGE,,,,TUCSON,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
CHARLES OF ITALY BEAUTY COLLEGE,,,,LAKE HAVASU CITY,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
COCHISE COLLEGE,,,,DOUGLAS,,AZ,Public,Predominantly associate's-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
COLLEGE OF BEAUTY ARTS AND SCIENCE,,,,FLAGSTAFF,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
COLLEGE OF BEAUTY ARTS AND SCIENCE,,,,COTTONWOOD,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Outlying Areas (AS, FM, GU, MH, MP, PR, PW, VI)"
DESERT INSTITUTE OF THE HEALING ARTS,,,,TUCSON,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
DEVOE COLLEGE OF BEAUTY,,,,SIERRA VISTA,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
DEVRY INSTITUTE OF TECHNOLOGY,,,,PHOENIX,,AZ,Private for-profit,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
EARL'S ACADEMY OF BEAUTY,,,,MESA,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Rocky Mountains (CO, ID, MT, UT, WY)"
EASTERN ARIZONA COLLEGE,,,,THATCHER,,AZ,Public,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
GLENDALE COMMUNITY COLLEGE,,,,GLENDALE,,AZ,Public,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
GRAND CANYON UNIVERSITY,,,,PHOENIX,,AZ,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
HIGH-TECH INSTITUTE,,,,PHOENIX,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
INTERNATIONAL ACADEMY OF HAIR DESIGN,,,,TEMPE,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
INTERSTATE CAREER COLLEGE,,,,TUCSON,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
LAMSON JUNIOR COLLEGE,,,,MESA,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
CLASSIC BEAUTY COLLEGE,,,,CHANDLER,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
CLASSIC BEAUTY COLLEGE,,,,PHOENIX,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
CLASSIC BEAUTY COLLEGE,,,,MESA,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
LONG MEDICAL INSTITUTE,,,,PHOENIX,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
MARICOPA BEAUTY COLLEGE,,,,AVONDALE,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
GATEWAY COMMUNITY COLLEGE,,,,PHOENIX,,AZ,Public,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
MESA COMMUNITY COLLEGE,,,,MESA,,AZ,Public,Predominantly associate's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
ITT TECHNICAL INSTITUTE,,,,TUCSON,,AZ,Private for-profit,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
ITT TECHNICAL INSTITUTE,,,,PHOENIX,,AZ,Private for-profit,Predominantly associate's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
MOHAVE COMMUNITY COLLEGE,,,,KINGMAN,,AZ,Public,Predominantly associate's-degree granting,,,,,"Outlying Areas (AS, FM, GU, MH, MP, PR, PW, VI)"
CLINTON TECHNICAL INSTITUTE-MOTORCYCLE MECH DIV,,,,PHOENIX,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
MUNDUS INSTITUTE,,,,PHOENIX,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
NAVAJO COMMUNITY COLLEGE,,,,TSAILE,,AZ,Public,Predominantly associate's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
NORTHERN ARIZONA UNIVERSITY,,,,FLAGSTAFF,,AZ,Public,Predominantly bachelor's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
NORTHLAND PIONEER COLLEGE,,,,HOLBROOK,,AZ,Public,Predominantly associate's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
OTTAWA UNIVERSITY-PHOENIX,,,,PHOENIX,,AZ,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
PHOENIX ACADEMY OF BEAUTY,,,,GLENDALE,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
PHOENIX COLLEGE,,,,PHOENIX,,AZ,Public,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
