INSTNM,,,,CITY,,STABBR,CONTROL,PREDDEG,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
HEALD INSTITUTE OF TECHNOLOGY-SAN FRANCISCO,,,,SAN FRANCISCO,,CA,Private nonprofit,Predominantly associate's-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
HEALD BUSINESS COLLEGE-SACRAMENTO,,,,RANCHO CORDOVA,,CA,Private nonprofit,Predominantly associate's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
HEALD BUSINESS COLLEGE-FRESNO,,,,FRESNO,,CA,Private nonprofit,Predominantly associate's-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
HEALD COLLEGE,,,,SANTA ROSA,,CA,Private nonprofit,Predominantly associate's-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
HEALD INSTITUTE OF TECHNOLOGY,,,,MILPITAS,,CA,Private nonprofit,Predominantly associate's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
HEALD BUSINESS COLLEGE-SAN FRANCISCO,,,,SAN FRANCISCO,,CA,Private nonprofit,Predominantly associate's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
HEALD BUSINESS COLLEGE-CONCORD,,,,CONCORD,,CA,Private nonprofit,Predominantly associate's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
HEALD INSTITUTE OF TECHNOLOGY-MARTINEZ,,,,MARTINEZ,,CA,Private nonprofit,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
HILLTOP BEAUTY SCHOOL,,,,DALY CITY,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
HOLY NAMES COLLEGE,,,,OAKLAND,,CA,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
HUMBOLDT STATE UNIVERSITY,,,,ARCATA,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
HUMPHREYS COLLEGE-STOCKTON,,,,STOCKTON,,CA,Private nonprofit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
HUNTINGTON COLLEGE OF DENTAL TECHNOLOGY,,,,HUNTINGTON BEACH,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
HUNTINGTON MEMORIAL HOSPITAL SCHOOL OF XRAY TECHN,,,,PASADENA,,CA,Private nonprofit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
IMPERIAL VALLEY COLLEGE,,,,IMPERIAL,,CA,Public,Predominantly associate's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
INSTITUTE FOR BUSINESS AND TECHNOLOGY,,,,SANTA CLARA,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
INSTITUTE FOR CREATION RESEARCH,,,,SANTEE,,CA,Private nonprofit,Entirely graduate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
INSTITUTE OF COMPUTER TECHNOLOGY,,,,LOS ANGELES,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
INTERIOR DESIGNERS INSTITUTE,,,,NEWPORT BEACH,,CA,Private for-profit,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
INTERNATIONAL AIR ACADEMY,,,,ONTARIO,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
INTERNATIONAL DEALERS SCHOOL,,,,COMMERCE,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
INTERNATIONAL SCHOOL OF COSMETOLOGY,,,,HAWTHORNE,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
IRVINE VALLEY COLLEGE,,,,IRVINE,,CA,Public,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
ITT TECHNICAL INSTITUTE,,,,SAN DIEGO,,CA,Private for-profit,Predominantly associate's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
ITT TECHNICAL INSTITUTE,,,,WEST COVINA,,CA,Private for-profit,Predominantly associate's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
ITT TECHNICAL INSTITUTE,,,,ANAHEIM,,CA,Private for-profit,Predominantly associate's-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
J BOUTIQUE COLLEGE OF BEAUTY,,,,EL CAJON,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
JERRYLEE BEAUTY COLLEGE,,,,AUBURN,,CA,Private for-profit,Not classified,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
JERRY LEE BEAUTY COLLEGE,,,,ROSEVILLE,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
JERRYLEE BEAUTY COLLEGE,,,,CARMICHAEL,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
JESUIT SCHOOL OF THEOLOGY AT BERKELEY,,,,BERKELEY,,CA,Private nonprofit,Entirely graduate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
JOHN F KENNEDY UNIVERSITY,,,,ORINDA,,CA,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
UNIVERSITY OF JUDAISM,,,,LOS ANGELES,,CA,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
KINGS RIVER COMMUNITY COLLEGE,,,,REEDLEY,,CA,Public,Predominantly associate's-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
LIFE BIBLE COLLEGE,,,,SAN DIMAS,,CA,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
ADVERTISING ARTS COLLEGE,,,,SAN DIEGO,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
UNIVERSITY OF LAVERNE,,,,LAVERNE,,CA,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
ART INSTITUTE OF SOUTHERN CALIFORNIA,,,,LAGUNA BEACH,,CA,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
LAKE TAHOE COMMUNITY COLLEGE,,,,SOUTH LAKE TAHOE,,CA,Public,Predominantly associate's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
LANCASTER BEAUTY SCHOOL,,,,LANCASTER,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
LANEY COLLEGE,,,,OAKLAND,,CA,Public,Predominantly associate's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
LASSEN COMMUNITY COLLEGE,,,,SUSANVILLE,,CA,Public,Predominantly associate's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
LIFE CHIROPRACTIC COLLEGE-WEST,,,,SAN LORENZO,,CA,Private nonprofit,Entirely graduate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
HARBOR-UCLA MEDICAL CENTER SCHOOL OF MEDICAL TECHN,,,,TORRANCE,,CA,Public,Not classified,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
LA SIERRA UNIVERSITY,,,,RIVERSIDE,,CA,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
LOMA LINDA UNIVERSITY,,,,LOMA LINDA,,CA,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
LONG BEACH CITY COLLEGE,,,,LONG BEACH,,CA,Public,Predominantly associate's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
LOS ANGELES COLLEGE OF CHIROPRACTIC,,,,WHITTIER,,CA,Private nonprofit,Entirely graduate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
LOS ANGELES HARBOR COLLEGE,,,,WILMINGTON,,CA,Public,Predominantly associate's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
